horse_number,horse_name,frame,actual_running_style,actual_running_style_fixed,position_m,finish_position_m,rank,lane,gap_from_leader,nige_senko_gap,early_gap_range,final_stretch_start_progress,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,performance_index,mid_race_move_score,normalized_mid_race_move,final_performance_score,late_power,random_noise,normalized_final_performance,normalized_late_power,late_phase,late_ratio,gap_adjustment,escape_fade,stalker_fade,fade_penalty,late_gain_multiplier,tie_breaker,ability_factor,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,stamina,acceleration,last3f_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,carried_weight,weight_penalty,pace_fit_score,final_stretch_score,style_attack_ratio,straight_attack_score,straight_ratio,pace,time,elapsed_time,progress
4,コスモアチーブ,4,差し,差し,235.936,235.936,7,3.0,45.0,12.747,45.0-82.0,0.75,48.534,54.286,48.0,67.862,74.364,59.943,51.258,46.73,55.681,0.304,56.395,57.443,2.33,0.902,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.497,0.441,0.516,0.598,1.0,59.808,49.723,51.18,70.597,56.592,51.507,65.0,63.431,0.0,0.0,55.801,44.1275,33.4,0.0,51.633,58.0,4.0,84.778,60.023,0.0,0.0,0.0,medium,18.125,18.125,0.1405
7,ミッドセンチュリー,7,差し,差し,233.442,233.442,8,6.22,47.495,12.747,45.0-82.0,0.75,48.469,60.643,49.7,63.716,70.471,61.624,50.697,48.002,57.56,0.508,56.383,54.423,-2.599,0.9,0.716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.519,0.476,0.386,0.613,1.0,61.274,51.883,53.76,73.852,57.323,51.172,65.0,69.727,0.0,0.0,51.64,49.18,34.4,0.0,38.622,58.0,4.0,87.431,57.766,0.0,0.0,0.0,medium,18.125,18.125,0.1405
3,アレクレア,3,差し,差し,228.196,228.196,9,2.22,52.741,12.747,45.0-82.0,0.75,46.721,65.429,63.714,63.771,59.193,23.445,45.92,42.064,37.868,-1.0,48.663,47.082,-1.369,-0.514,-0.679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.449,0.487,0.152,0.223,1.0,22.348,44.854,36.846,54.48,36.231,39.804,65.0,47.086,0.0,0.0,35.062,51.33,38.8,0.0,15.238,56.0,0.0,90.829,42.132,0.0,0.0,0.0,medium,18.125,18.125,0.1405
10,コスモエルヴァル,8,差し,差し,223.146,223.146,10,7.0,57.79,12.747,45.0-82.0,0.75,37.181,35.0,48.0,41.395,37.793,55.013,40.0,39.909,45.895,-0.76,46.67,47.927,2.87,-0.88,-0.519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.26,0.211,0.205,0.546,1.0,54.625,25.979,36.177,62.939,45.242,34.594,65.0,62.311,0.0,0.0,45.986,47.5575,34.5,0.0,20.536,55.0,-2.0,69.473,48.142,0.0,0.0,0.0,medium,18.125,18.125,0.1405
2,メアヴィア,2,逃げ,逃げ,285.217,285.217,1,1.0,2.409,13.051,0.0-8.0,0.75,39.52,59.214,48.0,35.305,38.314,48.746,40.0,40.507,50.836,-0.223,46.751,45.692,-0.549,-0.865,-0.943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.818,0.793,0.0,0.491,1.0,49.063,81.792,65.689,43.335,42.655,50.985,65.0,55.939,0.0,0.0,40.777,50.5825,33.4,0.0,0.0,56.0,0.0,80.692,43.414,0.0,0.0,0.0,medium,18.556,18.556,0.1438
9,アローメタル,8,先行,先行,272.166,272.166,2,7.0,15.46,13.051,12.0-34.0,0.75,50.974,90.0,43.405,83.514,93.243,52.254,53.707,53.556,61.693,0.958,58.194,56.626,-1.539,1.0,1.134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.639,0.692,0.516,0.521,1.0,52.14,63.91,61.508,76.138,56.359,58.191,65.0,91.092,0.0,0.0,41.595,54.910526315789475,33.7,0.0,51.557,55.0,-2.0,83.199,58.744,0.0,0.0,0.0,medium,18.556,18.556,0.1438
6,トレベルオール,6,先行,先行,271.407,271.407,3,5.0,16.218,13.051,12.0-34.0,0.75,49.57,53.714,48.0,64.399,77.157,68.599,52.338,44.258,63.161,1.0,51.917,51.461,0.289,0.082,0.153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.796,0.784,0.08,0.684,1.0,68.444,79.598,73.9,69.322,61.958,60.401,65.0,56.412,0.0,0.0,43.877,49.965,33.7,0.0,7.986,58.0,4.0,65.738,46.372,0.0,0.0,0.0,medium,18.556,18.556,0.1438
8,マイネルボス,7,先行,先行,265.95,265.95,4,6.0,21.675,13.051,12.0-34.0,0.75,41.109,40.143,47.086,55.161,48.864,53.076,42.575,47.248,53.975,0.118,52.449,52.004,-0.015,0.179,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.581,0.559,0.2,0.529,1.0,52.905,58.148,54.557,63.958,46.211,44.599,65.0,82.217,0.0,0.0,45.043,48.3275,35.3,0.0,20.0,58.0,4.0,87.958,52.622,0.0,0.0,0.0,medium,18.556,18.556,0.1438
5,ムーンストラック,5,先行,先行,265.426,265.426,5,4.22,22.199,13.051,12.0-34.0,0.75,42.278,46.357,48.0,42.82,53.843,63.199,43.915,45.079,55.702,0.306,52.29,51.358,-0.889,0.15,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.412,0.448,0.312,0.633,1.0,63.317,41.23,53.147,63.822,53.77,44.415,65.0,71.28,0.0,0.0,49.835,48.9175,33.9,0.0,31.25,56.0,0.0,82.11,55.252,0.0,0.0,0.0,medium,18.556,18.556,0.1438
1,ニシノイストワール,1,先行,先行,262.704,262.704,6,0.22,24.922,13.051,12.0-34.0,0.75,35.139,45.714,48.0,17.372,41.014,48.051,40.0,40.099,46.51,-0.694,44.989,42.55,-2.769,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.498,0.526,0.064,0.476,1.0,47.562,49.837,50.314,50.15,42.379,41.409,65.0,54.684,0.0,0.0,41.027,50.285,35.2,0.0,6.429,58.0,4.0,79.121,43.655,0.0,0.0,0.0,medium,18.556,18.556,0.1438
4,コスモアチーブ,4,差し,差し,242.625,242.625,7,3.0,45.0,13.051,45.0-82.0,0.75,48.534,54.286,48.0,67.862,74.364,59.943,51.258,46.73,55.681,0.304,56.395,57.443,2.33,0.902,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.497,0.441,0.516,0.598,1.0,59.808,49.723,51.18,70.597,56.592,51.507,65.0,63.431,0.0,0.0,55.801,44.1275,33.4,0.0,51.633,58.0,4.0,84.778,60.023,0.0,0.0,0.0,medium,18.556,18.556,0.1438
7,ミッドセンチュリー,7,差し,差し,239.0,239.0,8,6.22,48.626,13.051,45.0-82.0,0.75,48.469,60.643,49.7,63.716,70.471,61.624,50.697,48.002,57.56,0.508,56.383,54.423,-2.599,0.9,0.716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.519,0.476,0.386,0.613,1.0,61.274,51.883,53.76,73.852,57.323,51.172,65.0,69.727,0.0,0.0,51.64,49.18,34.4,0.0,38.622,58.0,4.0,87.431,57.766,0.0,0.0,0.0,medium,18.556,18.556,0.1438
3,アレクレア,3,差し,差し,233.629,233.629,9,2.22,53.997,13.051,45.0-82.0,0.75,46.721,65.429,63.714,63.771,59.193,23.445,45.92,42.064,37.868,-1.0,48.663,47.082,-1.369,-0.514,-0.679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.449,0.487,0.152,0.223,1.0,22.348,44.854,36.846,54.48,36.231,39.804,65.0,47.086,0.0,0.0,35.062,51.33,38.8,0.0,15.238,56.0,0.0,90.829,42.132,0.0,0.0,0.0,medium,18.556,18.556,0.1438
10,コスモエルヴァル,8,差し,差し,228.459,228.459,10,7.0,59.166,13.051,45.0-82.0,0.75,37.181,35.0,48.0,41.395,37.793,55.013,40.0,39.909,45.895,-0.76,46.67,47.927,2.87,-0.88,-0.519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.26,0.211,0.205,0.546,1.0,54.625,25.979,36.177,62.939,45.242,34.594,65.0,62.311,0.0,0.0,45.986,47.5575,34.5,0.0,20.536,55.0,-2.0,69.473,48.142,0.0,0.0,0.0,medium,18.556,18.556,0.1438
2,メアヴィア,2,逃げ,逃げ,291.85,291.85,1,1.0,2.465,13.354,0.0-8.0,0.75,39.52,59.214,48.0,35.305,38.314,48.746,40.0,40.507,50.836,-0.223,46.751,45.692,-0.549,-0.865,-0.943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.818,0.793,0.0,0.491,1.0,49.063,81.792,65.689,43.335,42.655,50.985,65.0,55.939,0.0,0.0,40.777,50.5825,33.4,0.0,0.0,56.0,0.0,80.692,43.414,0.0,0.0,0.0,medium,18.988,18.988,0.1472
9,アローメタル,8,先行,先行,278.495,278.495,2,7.0,15.819,13.354,12.0-34.0,0.75,50.974,90.0,43.405,83.514,93.243,52.254,53.707,53.556,61.693,0.958,58.194,56.626,-1.539,1.0,1.134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.639,0.692,0.516,0.521,1.0,52.14,63.91,61.508,76.138,56.359,58.191,65.0,91.092,0.0,0.0,41.595,54.910526315789475,33.7,0.0,51.557,55.0,-2.0,83.199,58.744,0.0,0.0,0.0,medium,18.988,18.988,0.1472
6,トレベルオール,6,先行,先行,277.719,277.719,3,5.0,16.596,13.354,12.0-34.0,0.75,49.57,53.714,48.0,64.399,77.157,68.599,52.338,44.258,63.161,1.0,51.917,51.461,0.289,0.082,0.153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.796,0.784,0.08,0.684,1.0,68.444,79.598,73.9,69.322,61.958,60.401,65.0,56.412,0.0,0.0,43.877,49.965,33.7,0.0,7.986,58.0,4.0,65.738,46.372,0.0,0.0,0.0,medium,18.988,18.988,0.1472
8,マイネルボス,7,先行,先行,272.135,272.135,4,6.0,22.179,13.354,12.0-34.0,0.75,41.109,40.143,47.086,55.161,48.864,53.076,42.575,47.248,53.975,0.118,52.449,52.004,-0.015,0.179,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.581,0.559,0.2,0.529,1.0,52.905,58.148,54.557,63.958,46.211,44.599,65.0,82.217,0.0,0.0,45.043,48.3275,35.3,0.0,20.0,58.0,4.0,87.958,52.622,0.0,0.0,0.0,medium,18.988,18.988,0.1472
5,ムーンストラック,5,先行,先行,271.599,271.599,5,4.22,22.716,13.354,12.0-34.0,0.75,42.278,46.357,48.0,42.82,53.843,63.199,43.915,45.079,55.702,0.306,52.29,51.358,-0.889,0.15,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.412,0.448,0.312,0.633,1.0,63.317,41.23,53.147,63.822,53.77,44.415,65.0,71.28,0.0,0.0,49.835,48.9175,33.9,0.0,31.25,56.0,0.0,82.11,55.252,0.0,0.0,0.0,medium,18.988,18.988,0.1472
1,ニシノイストワール,1,先行,先行,268.813,268.813,6,0.22,25.501,13.354,12.0-34.0,0.75,35.139,45.714,48.0,17.372,41.014,48.051,40.0,40.099,46.51,-0.694,44.989,42.55,-2.769,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.498,0.526,0.064,0.476,1.0,47.562,49.837,50.314,50.15,42.379,41.409,65.0,54.684,0.0,0.0,41.027,50.285,35.2,0.0,6.429,58.0,4.0,79.121,43.655,0.0,0.0,0.0,medium,18.988,18.988,0.1472
4,コスモアチーブ,4,差し,差し,248.334,248.334,7,3.0,45.98,13.354,45.0-82.0,0.75,48.534,54.286,48.0,67.862,74.364,59.943,51.258,46.73,55.681,0.304,56.395,57.443,2.33,0.902,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.497,0.441,0.516,0.598,1.0,59.808,49.723,51.18,70.597,56.592,51.507,65.0,63.431,0.0,0.0,55.801,44.1275,33.4,0.0,51.633,58.0,4.0,84.778,60.023,0.0,0.0,0.0,medium,18.988,18.988,0.1472
7,ミッドセンチュリー,7,差し,差し,244.558,244.558,8,6.22,49.757,13.354,45.0-82.0,0.75,48.469,60.643,49.7,63.716,70.471,61.624,50.697,48.002,57.56,0.508,56.383,54.423,-2.599,0.9,0.716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.519,0.476,0.386,0.613,1.0,61.274,51.883,53.76,73.852,57.323,51.172,65.0,69.727,0.0,0.0,51.64,49.18,34.4,0.0,38.622,58.0,4.0,87.431,57.766,0.0,0.0,0.0,medium,18.988,18.988,0.1472
3,アレクレア,3,差し,差し,239.062,239.062,9,2.22,55.252,13.354,45.0-82.0,0.75,46.721,65.429,63.714,63.771,59.193,23.445,45.92,42.064,37.868,-1.0,48.663,47.082,-1.369,-0.514,-0.679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.449,0.487,0.152,0.223,1.0,22.348,44.854,36.846,54.48,36.231,39.804,65.0,47.086,0.0,0.0,35.062,51.33,38.8,0.0,15.238,56.0,0.0,90.829,42.132,0.0,0.0,0.0,medium,18.988,18.988,0.1472
10,コスモエルヴァル,8,差し,差し,233.772,233.772,10,7.0,60.542,13.354,45.0-82.0,0.75,37.181,35.0,48.0,41.395,37.793,55.013,40.0,39.909,45.895,-0.76,46.67,47.927,2.87,-0.88,-0.519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.26,0.211,0.205,0.546,1.0,54.625,25.979,36.177,62.939,45.242,34.594,65.0,62.311,0.0,0.0,45.986,47.5575,34.5,0.0,20.536,55.0,-2.0,69.473,48.142,0.0,0.0,0.0,medium,18.988,18.988,0.1472
2,メアヴィア,2,逃げ,逃げ,297.077,297.077,1,1.0,3.927,12.252,0.0-8.0,0.75,39.52,59.214,48.0,35.305,38.314,48.746,40.0,40.507,50.836,-0.223,46.751,45.692,-0.549,-0.865,-0.943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.818,0.793,0.0,0.491,1.0,49.063,81.792,65.689,43.335,42.655,50.985,65.0,55.939,0.0,0.0,40.777,50.5825,33.4,0.0,0.0,56.0,0.0,80.692,43.414,0.0,0.0,0.0,medium,19.42,19.42,0.1505
9,アローメタル,8,先行,先行,284.825,284.825,2,7.0,16.179,12.252,12.0-34.0,0.75,50.974,90.0,43.405,83.514,93.243,52.254,53.707,53.556,61.693,0.958,58.194,56.626,-1.539,1.0,1.134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.639,0.692,0.516,0.521,1.0,52.14,63.91,61.508,76.138,56.359,58.191,65.0,91.092,0.0,0.0,41.595,54.910526315789475,33.7,0.0,51.557,55.0,-2.0,83.199,58.744,0.0,0.0,0.0,medium,19.42,19.42,0.1505
6,トレベルオール,6,先行,先行,284.031,284.031,3,5.0,16.973,12.252,12.0-34.0,0.75,49.57,53.714,48.0,64.399,77.157,68.599,52.338,44.258,63.161,1.0,51.917,51.461,0.289,0.082,0.153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.796,0.784,0.08,0.684,1.0,68.444,79.598,73.9,69.322,61.958,60.401,65.0,56.412,0.0,0.0,43.877,49.965,33.7,0.0,7.986,58.0,4.0,65.738,46.372,0.0,0.0,0.0,medium,19.42,19.42,0.1505
8,マイネルボス,7,先行,先行,278.32,278.32,4,6.0,22.684,12.252,12.0-34.0,0.75,41.109,40.143,47.086,55.161,48.864,53.076,42.575,47.248,53.975,0.118,52.449,52.004,-0.015,0.179,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.581,0.559,0.2,0.529,1.0,52.905,58.148,54.557,63.958,46.211,44.599,65.0,82.217,0.0,0.0,45.043,48.3275,35.3,0.0,20.0,58.0,4.0,87.958,52.622,0.0,0.0,0.0,medium,19.42,19.42,0.1505
5,ムーンストラック,5,先行,先行,277.772,277.772,5,4.22,23.232,12.252,12.0-34.0,0.75,42.278,46.357,48.0,42.82,53.843,63.199,43.915,45.079,55.702,0.306,52.29,51.358,-0.889,0.15,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.412,0.448,0.312,0.633,1.0,63.317,41.23,53.147,63.822,53.77,44.415,65.0,71.28,0.0,0.0,49.835,48.9175,33.9,0.0,31.25,56.0,0.0,82.11,55.252,0.0,0.0,0.0,medium,19.42,19.42,0.1505
1,ニシノイストワール,1,先行,先行,274.922,274.922,6,0.22,26.081,12.252,12.0-34.0,0.75,35.139,45.714,48.0,17.372,41.014,48.051,40.0,40.099,46.51,-0.694,44.989,42.55,-2.769,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.498,0.526,0.064,0.476,1.0,47.562,49.837,50.314,50.15,42.379,41.409,65.0,54.684,0.0,0.0,41.027,50.285,35.2,0.0,6.429,58.0,4.0,79.121,43.655,0.0,0.0,0.0,medium,19.42,19.42,0.1505
4,コスモアチーブ,4,差し,差し,253.978,253.978,7,3.0,47.025,12.252,45.0-82.0,0.75,48.534,54.286,48.0,67.862,74.364,59.943,51.258,46.73,55.681,0.304,56.395,57.443,2.33,0.902,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.497,0.441,0.516,0.598,1.0,59.808,49.723,51.18,70.597,56.592,51.507,65.0,63.431,0.0,0.0,55.801,44.1275,33.4,0.0,51.633,58.0,4.0,84.778,60.023,0.0,0.0,0.0,medium,19.42,19.42,0.1505
7,ミッドセンチュリー,7,差し,差し,250.116,250.116,8,6.22,50.887,12.252,45.0-82.0,0.75,48.469,60.643,49.7,63.716,70.471,61.624,50.697,48.002,57.56,0.508,56.383,54.423,-2.599,0.9,0.716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.519,0.476,0.386,0.613,1.0,61.274,51.883,53.76,73.852,57.323,51.172,65.0,69.727,0.0,0.0,51.64,49.18,34.4,0.0,38.622,58.0,4.0,87.431,57.766,0.0,0.0,0.0,medium,19.42,19.42,0.1505
3,アレクレア,3,差し,差し,244.495,244.495,9,2.22,56.508,12.252,45.0-82.0,0.75,46.721,65.429,63.714,63.771,59.193,23.445,45.92,42.064,37.868,-1.0,48.663,47.082,-1.369,-0.514,-0.679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.449,0.487,0.152,0.223,1.0,22.348,44.854,36.846,54.48,36.231,39.804,65.0,47.086,0.0,0.0,35.062,51.33,38.8,0.0,15.238,56.0,0.0,90.829,42.132,0.0,0.0,0.0,medium,19.42,19.42,0.1505
10,コスモエルヴァル,8,差し,差し,239.085,239.085,10,7.0,61.918,12.252,45.0-82.0,0.75,37.181,35.0,48.0,41.395,37.793,55.013,40.0,39.909,45.895,-0.76,46.67,47.927,2.87,-0.88,-0.519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.26,0.211,0.205,0.546,1.0,54.625,25.979,36.177,62.939,45.242,34.594,65.0,62.311,0.0,0.0,45.986,47.5575,34.5,0.0,20.536,55.0,-2.0,69.473,48.142,0.0,0.0,0.0,medium,19.42,19.42,0.1505
2,メアヴィア,2,逃げ,逃げ,303.678,303.678,1,1.0,4.014,12.524,0.0-8.0,0.75,39.52,59.214,48.0,35.305,38.314,48.746,40.0,40.507,50.836,-0.223,46.751,45.692,-0.549,-0.865,-0.943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.818,0.793,0.0,0.491,1.0,49.063,81.792,65.689,43.335,42.655,50.985,65.0,55.939,0.0,0.0,40.777,50.5825,33.4,0.0,0.0,56.0,0.0,80.692,43.414,0.0,0.0,0.0,medium,19.851,19.851,0.1538
9,アローメタル,8,先行,先行,291.154,291.154,2,7.0,16.538,12.524,12.0-34.0,0.75,50.974,90.0,43.405,83.514,93.243,52.254,53.707,53.556,61.693,0.958,58.194,56.626,-1.539,1.0,1.134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.639,0.692,0.516,0.521,1.0,52.14,63.91,61.508,76.138,56.359,58.191,65.0,91.092,0.0,0.0,41.595,54.910526315789475,33.7,0.0,51.557,55.0,-2.0,83.199,58.744,0.0,0.0,0.0,medium,19.851,19.851,0.1538
6,トレベルオール,6,先行,先行,290.342,290.342,3,5.0,17.35,12.524,12.0-34.0,0.75,49.57,53.714,48.0,64.399,77.157,68.599,52.338,44.258,63.161,1.0,51.917,51.461,0.289,0.082,0.153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.796,0.784,0.08,0.684,1.0,68.444,79.598,73.9,69.322,61.958,60.401,65.0,56.412,0.0,0.0,43.877,49.965,33.7,0.0,7.986,58.0,4.0,65.738,46.372,0.0,0.0,0.0,medium,19.851,19.851,0.1538
8,マイネルボス,7,先行,先行,284.505,284.505,4,6.0,23.188,12.524,12.0-34.0,0.75,41.109,40.143,47.086,55.161,48.864,53.076,42.575,47.248,53.975,0.118,52.449,52.004,-0.015,0.179,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.581,0.559,0.2,0.529,1.0,52.905,58.148,54.557,63.958,46.211,44.599,65.0,82.217,0.0,0.0,45.043,48.3275,35.3,0.0,20.0,58.0,4.0,87.958,52.622,0.0,0.0,0.0,medium,19.851,19.851,0.1538
5,ムーンストラック,5,先行,先行,283.944,283.944,5,4.22,23.748,12.524,12.0-34.0,0.75,42.278,46.357,48.0,42.82,53.843,63.199,43.915,45.079,55.702,0.306,52.29,51.358,-0.889,0.15,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.412,0.448,0.312,0.633,1.0,63.317,41.23,53.147,63.822,53.77,44.415,65.0,71.28,0.0,0.0,49.835,48.9175,33.9,0.0,31.25,56.0,0.0,82.11,55.252,0.0,0.0,0.0,medium,19.851,19.851,0.1538
1,ニシノイストワール,1,先行,先行,281.032,281.032,6,0.22,26.66,12.524,12.0-34.0,0.75,35.139,45.714,48.0,17.372,41.014,48.051,40.0,40.099,46.51,-0.694,44.989,42.55,-2.769,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.498,0.526,0.064,0.476,1.0,47.562,49.837,50.314,50.15,42.379,41.409,65.0,54.684,0.0,0.0,41.027,50.285,35.2,0.0,6.429,58.0,4.0,79.121,43.655,0.0,0.0,0.0,medium,19.851,19.851,0.1538
4,コスモアチーブ,4,差し,差し,259.622,259.622,7,3.0,48.07,12.524,45.0-82.0,0.75,48.534,54.286,48.0,67.862,74.364,59.943,51.258,46.73,55.681,0.304,56.395,57.443,2.33,0.902,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.497,0.441,0.516,0.598,1.0,59.808,49.723,51.18,70.597,56.592,51.507,65.0,63.431,0.0,0.0,55.801,44.1275,33.4,0.0,51.633,58.0,4.0,84.778,60.023,0.0,0.0,0.0,medium,19.851,19.851,0.1538
7,ミッドセンチュリー,7,差し,差し,255.674,255.674,8,6.22,52.018,12.524,45.0-82.0,0.75,48.469,60.643,49.7,63.716,70.471,61.624,50.697,48.002,57.56,0.508,56.383,54.423,-2.599,0.9,0.716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.519,0.476,0.386,0.613,1.0,61.274,51.883,53.76,73.852,57.323,51.172,65.0,69.727,0.0,0.0,51.64,49.18,34.4,0.0,38.622,58.0,4.0,87.431,57.766,0.0,0.0,0.0,medium,19.851,19.851,0.1538
3,アレクレア,3,差し,差し,249.929,249.929,9,2.22,57.764,12.524,45.0-82.0,0.75,46.721,65.429,63.714,63.771,59.193,23.445,45.92,42.064,37.868,-1.0,48.663,47.082,-1.369,-0.514,-0.679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.449,0.487,0.152,0.223,1.0,22.348,44.854,36.846,54.48,36.231,39.804,65.0,47.086,0.0,0.0,35.062,51.33,38.8,0.0,15.238,56.0,0.0,90.829,42.132,0.0,0.0,0.0,medium,19.851,19.851,0.1538
10,コスモエルヴァル,8,差し,差し,244.398,244.398,10,7.0,63.294,12.524,45.0-82.0,0.75,37.181,35.0,48.0,41.395,37.793,55.013,40.0,39.909,45.895,-0.76,46.67,47.927,2.87,-0.88,-0.519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.26,0.211,0.205,0.546,1.0,54.625,25.979,36.177,62.939,45.242,34.594,65.0,62.311,0.0,0.0,45.986,47.5575,34.5,0.0,20.536,55.0,-2.0,69.473,48.142,0.0,0.0,0.0,medium,19.851,19.851,0.1538
2,メアヴィア,2,逃げ,逃げ,310.28,310.28,1,1.0,4.101,12.796,0.0-8.0,0.75,39.52,59.214,48.0,35.305,38.314,48.746,40.0,40.507,50.836,-0.223,46.751,45.692,-0.549,-0.865,-0.943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.818,0.793,0.0,0.491,1.0,49.063,81.792,65.689,43.335,42.655,50.985,65.0,55.939,0.0,0.0,40.777,50.5825,33.4,0.0,0.0,56.0,0.0,80.692,43.414,0.0,0.0,0.0,medium,20.283,20.283,0.1572
9,アローメタル,8,先行,先行,297.484,297.484,2,7.0,16.898,12.796,12.0-34.0,0.75,50.974,90.0,43.405,83.514,93.243,52.254,53.707,53.556,61.693,0.958,58.194,56.626,-1.539,1.0,1.134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.639,0.692,0.516,0.521,1.0,52.14,63.91,61.508,76.138,56.359,58.191,65.0,91.092,0.0,0.0,41.595,54.910526315789475,33.7,0.0,51.557,55.0,-2.0,83.199,58.744,0.0,0.0,0.0,medium,20.283,20.283,0.1572
6,トレベルオール,6,先行,先行,296.654,296.654,3,5.0,17.727,12.796,12.0-34.0,0.75,49.57,53.714,48.0,64.399,77.157,68.599,52.338,44.258,63.161,1.0,51.917,51.461,0.289,0.082,0.153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.796,0.784,0.08,0.684,1.0,68.444,79.598,73.9,69.322,61.958,60.401,65.0,56.412,0.0,0.0,43.877,49.965,33.7,0.0,7.986,58.0,4.0,65.738,46.372,0.0,0.0,0.0,medium,20.283,20.283,0.1572
8,マイネルボス,7,先行,先行,290.69,290.69,4,6.0,23.692,12.796,12.0-34.0,0.75,41.109,40.143,47.086,55.161,48.864,53.076,42.575,47.248,53.975,0.118,52.449,52.004,-0.015,0.179,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.581,0.559,0.2,0.529,1.0,52.905,58.148,54.557,63.958,46.211,44.599,65.0,82.217,0.0,0.0,45.043,48.3275,35.3,0.0,20.0,58.0,4.0,87.958,52.622,0.0,0.0,0.0,medium,20.283,20.283,0.1572
5,ムーンストラック,5,先行,先行,290.117,290.117,5,4.22,24.264,12.796,12.0-34.0,0.75,42.278,46.357,48.0,42.82,53.843,63.199,43.915,45.079,55.702,0.306,52.29,51.358,-0.889,0.15,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.412,0.448,0.312,0.633,1.0,63.317,41.23,53.147,63.822,53.77,44.415,65.0,71.28,0.0,0.0,49.835,48.9175,33.9,0.0,31.25,56.0,0.0,82.11,55.252,0.0,0.0,0.0,medium,20.283,20.283,0.1572
